ID,start,end,length (sec)
0,0,134.7,134.7
1,134.7,344.8,210.1
2,344.8,647.3,302.5
3,647.3,824.7,177.4
4,824.7,1016.8,192.1
5,1016.8,1040,23.2
6,1040,1123.1,83.1
7,1123.1,1165.2,42.1
8,1165.2,1258.1,92.9
9,1258.1,1489.8,231.7
10,1489.8,1915.2,425.4
11,1915.2,1934.7,19.5
12,1934.7,2064.2,129.5
13,2064.2,2084.9,20.7
14,2084.9,2244.2,159.3
15,2244.2,2808,563.8
16,2808,2890.7,82.7
17,2890.7,2961.4,70.7
18,2961.4,3085.9,124.5
19,3085.9,3776.9,691
20,3776.9,3871.3,94.4
21,3871.3,3911,39.7
22,3911,4378.9,467.9
23,4378.9,4598.2,219.3
24,4598.2,4658.9,60.7
