ID,start,end,length (sec)
0,0,79,79
1,79,131.9,52.9
2,131.9,193,61.1
3,193,207.8,14.8
4,207.8,212.6,4.8
5,212.6,220.1,7.5
6,220.1,309.9,89.8
7,309.9,313.4,3.5
8,313.4,1013,699.6
9,1013,1041.6,28.6
10,1041.6,1205,163.4
11,1205,1376.2,171.2
12,1376.2,1377.9,1.7
13,1377.9,1598.8,220.9
14,1598.8,1677.9,79.1
15,1677.9,1683.1,5.2
16,1683.1,2361.8,678.7
17,2361.8,2629,267.2
18,2629,2650.6,21.6
19,2650.6,2728,77.4
20,2728,3049.6,321.6
21,3049.6,3303,253.4
22,3303,3309.8,6.8
23,3309.8,3313,3.2
24,3313,3707.8,394.8
25,3707.8,3710.1,2.3
26,3710.1,3722.8,12.7
27,3722.8,3728.9,6.1
28,3728.9,3736.9,8
29,3736.9,3751,14.1
30,3751,3784.5,33.5
31,3784.5,3787.8,3.3
32,3787.8,3980.5,192.7
33,3980.5,4012.2,31.7
34,4012.2,4084.4,72.2
35,4084.4,4180.1,95.7
36,4180.1,4186,5.9
37,4186,4456.4,270.4
38,4456.4,4696.6,240.2
39,4696.6,4949.9,253.3
40,4949.9,5144.9,195
41,5144.9,5154.5,9.6
42,5154.5,5240,85.5
43,5240,5266.7,26.7
44,5266.7,5277.3,10.6
45,5277.3,5411.9,134.6
46,5411.9,5433.8,21.9
