ID,start,end,length (sec)
0,0,63.4,63.4
1,63.4,245,181.6
2,245,361.7,116.7
3,361.7,366.3,4.6
4,366.3,383,16.7
5,383,865.8,482.8
6,865.8,1149,283.2
7,1149,1176.5,27.5
8,1176.5,1296.6,120.1
9,1296.6,1579.6,283
10,1579.6,1710,130.4
11,1710,1753.4,43.4
12,1753.4,1765.3,11.9
13,1765.3,1771.8,6.5
14,1771.8,1792.1,20.3
15,1792.1,1799.1,7
16,1799.1,1926.6,127.5
17,1926.6,1943.8,17.2
18,1943.8,1957.5,13.7
19,1957.5,2081.1,123.6
20,2081.1,2085.9,4.8
21,2085.9,2430.4,344.5
22,2430.4,2500.1,69.7
23,2500.1,2598.5,98.4
24,2598.5,2730.6,132.1
25,2730.6,2752.3,21.7
26,2752.3,2996.1,243.8
27,2996.1,3002.5,6.4
28,3002.5,3081.9,79.4
29,3081.9,3168.8,86.9
30,3168.8,3177.7,8.9
31,3177.7,3235.2,57.5
32,3235.2,3320.1,84.9
33,3320.1,3366.5,46.4
34,3366.5,3370.6,4.1
35,3370.6,3402.2,31.6
36,3402.2,3424.6,22.4
37,3424.6,3433.3,8.7
38,3433.3,3587.4,154.1
39,3587.4,3722.5,135.1
40,3722.5,3727,4.5
41,3727,3778.6,51.6
42,3778.6,3784.1,5.5
43,3784.1,3874.5,90.4
44,3874.5,3894.9,20.4
45,3894.9,3943.5,48.6
46,3943.5,4048.2,104.7
47,4048.2,4077.7,29.5
48,4077.7,4219.8,142.1
49,4219.8,4269.9,50.1
50,4269.9,4280,10.1
51,4280,4288.7,8.7
52,4288.7,4299.5,10.8
53,4299.5,4307.7,8.2
54,4307.7,4410.2,102.5
55,4410.2,4476.5,66.3
56,4476.5,4508,31.5
57,4508,4512.6,4.6
58,4512.6,4521.1,8.5
59,4521.1,4584.9,63.8
60,4584.9,4589.3,4.4
61,4589.3,4652.6,63.3
62,4652.6,4655.1,2.5
63,4655.1,4663.9,8.8
64,4663.9,4668.6,4.7
65,4668.6,4763.6,95
66,4763.6,4798.4,34.8
67,4798.4,4854.8,56.4
68,4854.8,4894.2,39.4
69,4894.2,4948.3,54.1
70,4948.3,4982.2,33.9
71,4982.2,5022,39.8
72,5022,5032.8,10.8
