ID,start,end,length (sec)
0,0,31.3,31.3
1,31.3,548.8,517.5
2,548.8,575.3,26.5
3,575.3,648.6,73.3
4,648.6,717.3,68.7
5,717.3,894.9,177.6
6,894.9,922.1,27.2
7,922.1,981.8,59.7
8,981.8,1394.2,412.4
9,1394.2,1408.5,14.3
10,1408.5,1425,16.5
11,1425,1443.5,18.5
12,1443.5,1501.9,58.4
13,1501.9,1555.3,53.4
14,1555.3,1771.3,216
15,1771.3,1880.9,109.6
16,1880.9,2079.9,199
17,2079.9,2194.1,114.2
18,2194.1,2272.6,78.5
19,2272.6,2407.5,134.9
20,2407.5,2437.1,29.6
21,2437.1,2469.2,32.1
22,2469.2,2475,5.8
23,2475,3025,550
24,3025,3074.9,49.9
25,3074.9,3221.7,146.8
26,3221.7,3245.7,24
27,3245.7,3291.2,45.5
28,3291.2,3304.4,13.2
29,3304.4,3362.1,57.7
30,3362.1,3427.3,65.2
31,3427.3,3442,14.7
32,3442,3457.7,15.7
33,3457.7,3470.8,13.1
34,3470.8,3575.7,104.9
35,3575.7,3643.5,67.8
36,3643.5,3718.9,75.4
37,3718.9,3763.8,44.9
38,3763.8,3788.7,24.9
39,3788.7,3799.2,10.5
40,3799.2,3840.9,41.7
41,3840.9,3844.1,3.2
42,3844.1,3883.2,39.1
43,3883.2,3892.6,9.4
44,3892.6,3940.3,47.7
45,3940.3,3952.2,11.9
46,3952.2,3981.4,29.2
47,3981.4,4004.6,23.2
48,4004.6,4024.8,20.2
49,4024.8,4111.8,87
50,4111.8,4124.5,12.7
51,4124.5,4165.5,41
52,4165.5,4211.8,46.3
53,4211.8,4379.7,167.9
54,4379.7,4439.7,60
55,4439.7,4636.9,197.2
56,4636.9,4642.7,5.8
57,4642.7,4647.8,5.1
58,4647.8,4653.9,6.1
59,4653.9,4690.8,36.9
60,4690.8,4890.4,199.6
61,4890.4,4922.4,32
62,4922.4,4937.7,15.3
63,4937.7,4983.2,45.5
64,4983.2,5008.1,24.9
