ID,start,end,length (sec)
0,0,107.4,107.4
1,107.4,349.1,241.7
2,349.1,363.2,14.1
3,363.2,390,26.8
4,390,411.8,21.8
5,411.8,417.9,6.1
6,417.9,486.2,68.3
7,486.2,564.8,78.6
8,564.8,648.1,83.3
9,648.1,664.4,16.3
10,664.4,746.6,82.2
11,746.6,1139.5,392.9
12,1139.5,1168.9,29.4
13,1168.9,1486.9,318
14,1486.9,1648,161.1
15,1648,2473.6,825.6
16,2473.6,2538.9,65.3
17,2538.9,2700,161.1
18,2700,2702.5,2.5
19,2702.5,2769,66.5
20,2769,3470.4,701.4
21,3470.4,3488.7,18.3
22,3488.7,3535.2,46.5
23,3535.2,3541,5.8
24,3541,3601.3,60.3
25,3601.3,3767.9,166.6
26,3767.9,3822.9,55
27,3822.9,4008.7,185.8
28,4008.7,4011.3,2.6
29,4011.3,4049.9,38.6
30,4049.9,4246.5,196.6
31,4246.5,4278.9,32.4
32,4278.9,4294,15.1
33,4294,4369,75
34,4369,4376.8,7.8
35,4376.8,4378.9,2.1
36,4378.9,4774.7,395.8
37,4774.7,4781.8,7.1
38,4781.8,5024.4,242.6
39,5024.4,5030.7,6.3
40,5030.7,5083.3,52.6
41,5083.3,5106.2,22.9
42,5106.2,5268.7,162.5
43,5268.7,5529.3,260.6
44,5529.3,5689.3,160
45,5689.3,5700.7,11.4
46,5700.7,5703.5,2.8
47,5703.5,5737.9,34.4
48,5737.9,5795,57.1
49,5795,5828.6,33.6
50,5828.6,5861,32.4
