ID,start,end,length (sec)
0,0,195,195
1,195,198.8,3.8
2,198.8,697.5,498.7
3,697.5,1105.1,407.6
4,1105.1,1180,74.9
5,1180,1195.3,15.3
6,1195.3,1320.3,125
7,1320.3,1360.6,40.3
8,1360.6,1420,59.4
9,1420,1685.3,265.3
10,1685.3,1722.7,37.4
11,1722.7,1741.1,18.4
12,1741.1,1744.1,3
13,1744.1,1796.9,52.8
14,1796.9,1822.4,25.5
15,1822.4,2229.1,406.7
16,2229.1,2300.2,71.1
17,2300.2,2313.3,13.1
18,2313.3,2892.5,579.2
19,2892.5,3205.5,313
20,3205.5,3211.2,5.7
21,3211.2,3424.7,213.5
22,3424.7,3427.6,2.9
23,3427.6,3474.2,46.6
24,3474.2,3541.6,67.4
25,3541.6,3546.7,5.1
26,3546.7,3552.9,6.2
27,3552.9,3859.9,307
28,3859.9,3904.9,45
29,3904.9,3927.6,22.7
30,3927.6,4190.5,262.9
31,4190.5,4209.5,19
32,4209.5,4241.8,32.3
33,4241.8,4253.1,11.3
34,4253.1,4263.9,10.8
35,4263.9,4362.5,98.6
36,4362.5,4388.2,25.7
37,4388.2,4483.7,95.5
