ID,start,end,length (sec)
0,0,162.9,162.9
1,162.9,320.4,157.5
2,320.4,333.7,13.3
3,333.7,418.3,84.6
4,418.3,483.9,65.6
5,483.9,1039.7,555.8
6,1039.7,1312.1,272.4
7,1312.1,1371.7,59.6
8,1371.7,1383.6,11.9
9,1383.6,1549.2,165.6
10,1549.2,1853.8,304.6
11,1853.8,1874.5,20.7
12,1874.5,2042.9,168.4
13,2042.9,2049.6,6.7
14,2049.6,2061.3,11.7
15,2061.3,2090.9,29.6
16,2090.9,2151.3,60.4
17,2151.3,2211.7,60.4
18,2211.7,2242.6,30.9
19,2242.6,2338.6,96
20,2338.6,2604.5,265.9
21,2604.5,2645.9,41.4
22,2645.9,2690.6,44.7
23,2690.6,2752.5,61.9
24,2752.5,3010.4,257.9
25,3010.4,3012.8,2.4
26,3012.8,3030.4,17.6
27,3030.4,3063.1,32.7
28,3063.1,3123.5,60.4
29,3123.5,3247.8,124.3
30,3247.8,3336,88.2
31,3336,3338.7,2.7
32,3338.7,3345.1,6.4
33,3345.1,3397.8,52.7
34,3397.8,3613.1,215.3
35,3613.1,3696,82.9
36,3696,3915.3,219.3
37,3915.3,4018.5,103.2
38,4018.5,4030.2,11.7
39,4030.2,4053.9,23.7
40,4053.9,4251.4,197.5
41,4251.4,4289.1,37.7
42,4289.1,4348.1,59
43,4348.1,4528.5,180.4
44,4528.5,4546.5,18
45,4546.5,4581.2,34.7
46,4581.2,4582.9,1.7
47,4582.9,4589.4,6.5
48,4589.4,4597.5,8.1
49,4597.5,4608,10.5
50,4608,4623.8,15.8
51,4623.8,4628.4,4.6
52,4628.4,4643.8,15.4
53,4643.8,4752.2,108.4
54,4752.2,4761.5,9.3
55,4761.5,4767.8,6.3
56,4767.8,4801.1,33.3
57,4801.1,5144.1,343
58,5144.1,5206.8,62.7
59,5206.8,5226.1,19.3
60,5226.1,5245.3,19.2
61,5245.3,5288.7,43.4
62,5288.7,5323.1,34.4
63,5323.1,5491.4,168.3
64,5491.4,5494.7,3.3
65,5494.7,5509,14.3
66,5509,5527,18
67,5527,5532.9,5.9
68,5532.9,5551.2,18.3
