ID,start,end,length (sec)
0,0,121.3,121.3
1,121.3,138.6,17.3
2,138.6,211.8,73.2
3,211.8,212.9,1.1
4,212.9,334.7,121.8
5,334.7,349.6,14.9
6,349.6,375.3,25.7
7,375.3,551.4,176.1
8,551.4,724.6,173.2
9,724.6,771.5,46.9
10,771.5,779.4,7.9
11,779.4,785.3,5.9
12,785.3,810.1,24.8
13,810.1,1037.8,227.7
14,1037.8,1149.4,111.6
15,1149.4,1224.2,74.8
16,1224.2,1233.5,9.3
17,1233.5,1238.4,4.9
18,1238.4,1245.6,7.2
19,1245.6,1439.2,193.6
20,1439.2,1528.8,89.6
21,1528.8,1564.1,35.3
22,1564.1,1590.8,26.7
23,1590.8,1640.5,49.7
24,1640.5,1644.9,4.4
25,1644.9,1667.6,22.7
26,1667.6,1722.1,54.5
27,1722.1,1728.7,6.6
28,1728.7,1732.9,4.2
29,1732.9,1743.6,10.7
30,1743.6,1755.1,11.5
31,1755.1,1783.8,28.7
32,1783.8,1788.6,4.8
33,1788.6,1807.4,18.8
34,1807.4,1914.2,106.8
35,1914.2,2035.9,121.7
36,2035.9,2146.6,110.7
37,2146.6,2282.6,136
38,2282.6,2299,16.4
39,2299,2362.7,63.7
40,2362.7,2390.6,27.9
41,2390.6,2402.1,11.5
42,2402.1,2486.8,84.7
43,2486.8,2648.4,161.6
44,2648.4,2685.1,36.7
45,2685.1,2752.6,67.5
46,2752.6,2964.2,211.6
47,2964.2,3043.7,79.5
48,3043.7,3059.3,15.6
49,3059.3,3064.5,5.2
50,3064.5,3132,67.5
51,3132,3141.1,9.1
52,3141.1,3166.7,25.6
53,3166.7,3263.7,97
54,3263.7,3277.8,14.1
55,3277.8,3443.1,165.3
56,3443.1,3464.4,21.3
57,3464.4,3561.2,96.8
58,3561.2,3574.4,13.2
59,3574.4,3601.7,27.3
60,3601.7,3623.6,21.9
61,3623.6,3746.3,122.7
62,3746.3,3786.7,40.4
63,3786.7,3797.8,11.1
64,3797.8,3814.1,16.3
65,3814.1,3869.7,55.6
66,3869.7,3882.4,12.7
67,3882.4,3981.2,98.8
68,3981.2,4059.9,78.7
69,4059.9,4074.2,14.3
70,4074.2,4095.9,21.7
71,4095.9,4108.4,12.5
72,4108.4,4110.5,2.1
73,4110.5,4287.1,176.6
74,4287.1,4289.8,2.7
75,4289.8,4313.5,23.7
76,4313.5,4490.8,177.3
77,4490.8,4518.1,27.3
78,4518.1,4564.4,46.3
79,4564.4,4653.2,88.8
80,4653.2,4686.6,33.4
81,4686.6,4729.8,43.2
82,4729.8,4732.9,3.1
83,4732.9,4770.3,37.4
84,4770.3,4828.8,58.5
