ID,start,end,length (sec)
0,0,326.3,326.3
1,326.3,490.9,164.6
2,490.9,716.2,225.3
3,716.2,1001.2,285
4,1001.2,1047,45.8
5,1047,1078.2,31.2
6,1078.2,1174.2,96
7,1174.2,1549.5,375.3
8,1549.5,1637.8,88.3
9,1637.8,1645.1,7.3
10,1645.1,1671.6,26.5
11,1671.6,1836.6,165
12,1836.6,1856.8,20.2
13,1856.8,2093,236.2
14,2093,2144.1,51.1
15,2144.1,2228.9,84.8
16,2228.9,2240.7,11.8
17,2240.7,2246.5,5.8
18,2246.5,2279.6,33.1
19,2279.6,2547,267.4
20,2547,2553.3,6.3
21,2553.3,2568.2,14.9
22,2568.2,2909.9,341.7
23,2909.9,2986.6,76.7
24,2986.6,3175.7,189.1
25,3175.7,3411.6,235.9
26,3411.6,3427.4,15.8
27,3427.4,3495,67.6
28,3495,3592.6,97.6
29,3592.6,3634,41.4
30,3634,3663.7,29.7
31,3663.7,3753.4,89.7
32,3753.4,3771,17.6
33,3771,3819.8,48.8
34,3819.8,3874.1,54.3
35,3874.1,3898.5,24.4
36,3898.5,4203.2,304.7
37,4203.2,4250.5,47.3
38,4250.5,4274.1,23.6
39,4274.1,4382.6,108.5
40,4382.6,4440,57.4
41,4440,4467.3,27.3
42,4467.3,4533.2,65.9
43,4533.2,4620.1,86.9
44,4620.1,4781.6,161.5
45,4781.6,4828.7,47.1
46,4828.7,4848.7,20
47,4848.7,5034.1,185.4
48,5034.1,5055.4,21.3
49,5055.4,5070.4,15
50,5070.4,5172.7,102.3
51,5172.7,5215.2,42.5
52,5215.2,5226.2,11
53,5226.2,5316.3,90.1
54,5316.3,5331.7,15.4
55,5331.7,5345.1,13.4
56,5345.1,5350.5,5.4
57,5350.5,5466.2,115.7
