ID,start,end,length (sec)
0,0,112.7,112.7
1,112.7,438.9,326.2
2,438.9,586.1,147.2
3,586.1,590.8,4.7
4,590.8,636.6,45.8
5,636.6,655.5,18.9
6,655.5,663.7,8.2
7,663.7,673.4,9.7
8,673.4,680.7,7.3
9,680.7,851.6,170.9
10,851.6,964.8,113.2
11,964.8,972.2,7.4
12,972.2,1270.9,298.7
13,1270.9,1274.2,3.3
14,1274.2,1358.6,84.4
15,1358.6,1460.1,101.5
16,1460.1,1907.8,447.7
17,1907.8,1912.8,5
18,1912.8,1917.6,4.8
19,1917.6,2031.3,113.7
20,2031.3,2040.3,9
21,2040.3,2110.7,70.4
22,2110.7,2140.2,29.5
23,2140.2,2217.7,77.5
24,2217.7,2229.8,12.1
25,2229.8,2260.5,30.7
26,2260.5,2263.8,3.3
27,2263.8,2304.5,40.7
28,2304.5,2341.4,36.9
29,2341.4,2485.1,143.7
30,2485.1,2651.9,166.8
31,2651.9,2661.3,9.4
32,2661.3,2819.3,158
33,2819.3,3107.2,287.9
34,3107.2,3344.7,237.5
35,3344.7,3777.5,432.8
36,3777.5,3973,195.5
37,3973,4002.5,29.5
38,4002.5,4244.4,241.9
39,4244.4,4347.6,103.2
40,4347.6,4378.8,31.2
41,4378.8,4700.5,321.7
42,4700.5,4702.7,2.2
43,4702.7,4745.3,42.6
44,4745.3,4759.5,14.2
45,4759.5,4865.7,106.2
46,4865.7,4888.8,23.1
47,4888.8,5059.4,170.6
