ID,start,end,length (sec)
0,0,326.9,326.9
1,326.9,467.1,140.2
2,467.1,717.2,250.1
3,717.2,734.4,17.2
4,734.4,1542.5,808.1
5,1542.5,1809.4,266.9
6,1809.4,2146.9,337.5
7,2146.9,2198.2,51.3
8,2198.2,2225.2,27
9,2225.2,2569.1,343.9
10,2569.1,2852.7,283.6
11,2852.7,2891.9,39.2
12,2891.9,2907,15.1
13,2907,2995.4,88.4
14,2995.4,3093.4,98
15,3093.4,3273.5,180.1
16,3273.5,3462.4,188.9
17,3462.4,3489.3,26.9
18,3489.3,4239.7,750.4
19,4239.7,4594.8,355.1
20,4594.8,4649.3,54.5
21,4649.3,4693.2,43.9
22,4693.2,4753.6,60.4
