ID,start,end,length (sec)
0,0,280.2,280.2
1,280.2,589.6,309.4
2,589.6,719.9,130.3
3,719.9,793.2,73.3
4,793.2,1001.2,208
5,1001.2,1118.7,117.5
6,1118.7,1264.5,145.8
7,1264.5,1295.5,31
8,1295.5,1486.4,190.9
9,1486.4,1824.6,338.2
10,1824.6,1995.5,170.9
11,1995.5,2003.5,8
12,2003.5,2385.9,382.4
13,2385.9,2405.4,19.5
14,2405.4,2750.4,345
15,2750.4,2967,216.6
16,2967,3463.8,496.8
17,3463.8,3871.3,407.5
18,3871.3,3883.1,11.8
19,3883.1,4148.9,265.8
20,4148.9,4240.4,91.5
21,4240.4,4254.1,13.7
22,4254.1,4404.3,150.2
23,4404.3,4441.9,37.6
24,4441.9,4469.2,27.3
25,4469.2,4647.9,178.7
26,4647.9,4665.1,17.2
27,4665.1,5045.3,380.2
28,5045.3,5062.1,16.8
29,5062.1,5335.7,273.6
30,5335.7,5352.2,16.5
