ID,start,end,length (sec)
0,0,3.2,3.2
1,3.2,121.1,117.9
2,121.1,221.7,100.6
3,221.7,281.5,59.8
4,281.5,349.9,68.4
5,349.9,694.2,344.3
6,694.2,811.7,117.5
7,811.7,904.6,92.9
8,904.6,939.7,35.1
9,939.7,1017.9,78.2
10,1017.9,1082.5,64.6
11,1082.5,1112,29.5
12,1112,1185.2,73.2
13,1185.2,1307.5,122.3
14,1307.5,1393.6,86.1
15,1393.6,1424.9,31.3
16,1424.9,1491.1,66.2
17,1491.1,1507.8,16.7
18,1507.8,1610.5,102.7
19,1610.5,1650,39.5
20,1650,1658.8,8.8
21,1658.8,1667.2,8.4
22,1667.2,1868,200.8
23,1868,1942.5,74.5
24,1942.5,1993.9,51.4
25,1993.9,2282.1,288.2
26,2282.1,2558.4,276.3
27,2558.4,3541.6,983.2
28,3541.6,3608.9,67.3
29,3608.9,3625.6,16.7
30,3625.6,3891.4,265.8
31,3891.4,3931.1,39.7
32,3931.1,3955.6,24.5
33,3955.6,4234.2,278.6
34,4234.2,4263.3,29.1
35,4263.3,4298,34.7
36,4298,4349.7,51.7
37,4349.7,4784,434.3
38,4784,4868.4,84.4
39,4868.4,5025.7,157.3
40,5025.7,5085.4,59.7
