ID,start,end,length (sec)
0,0,180.4,180.4
1,180.4,253.2,72.8
2,253.2,262,8.8
3,262,269,7
4,269,643,374
5,643,763.3,120.3
6,763.3,901,137.7
7,901,1445.8,544.8
8,1445.8,1578.8,133
9,1578.8,1828,249.2
10,1828,1836.2,8.2
11,1836.2,1843,6.8
12,1843,1869.3,26.3
13,1869.3,1907.9,38.6
14,1907.9,1996.6,88.7
15,1996.6,2061.4,64.8
16,2061.4,2078.2,16.8
17,2078.2,2444.3,366.1
18,2444.3,2455,10.7
19,2455,2576,121
20,2576,2646.1,70.1
21,2646.1,2659.4,13.3
22,2659.4,3336.8,677.4
23,3336.8,3352,15.2
24,3352,3373,21
25,3373,3383.7,10.7
26,3383.7,3393.5,9.8
27,3393.5,3400,6.5
28,3400,3403.5,3.5
29,3403.5,3506.7,103.2
30,3506.7,3594.9,88.2
31,3594.9,3601.2,6.3
32,3601.2,3664.2,63
33,3664.2,3685.1,20.9
34,3685.1,3720.3,35.2
35,3720.3,3732.9,12.6
36,3732.9,3765.6,32.7
37,3765.6,3773.5,7.9
38,3773.5,4145.7,372.2
39,4145.7,4152.9,7.2
40,4152.9,4243.6,90.7
41,4243.6,4267.3,23.7
42,4267.3,4275,7.7
43,4275,4301.4,26.4
44,4301.4,4371,69.6
45,4371,4408,37
46,4408,4419.4,11.4
47,4419.4,4460.6,41.2
48,4460.6,4537.2,76.6
49,4537.2,4561,23.8
50,4561,4636.5,75.5
51,4636.5,4735.9,99.4
52,4735.9,4744.4,8.5
53,4744.4,4763,18.6
54,4763,4813,50
55,4813,4852.2,39.2
56,4852.2,4939.6,87.4
57,4939.6,4988.9,49.3
58,4988.9,5245.9,257
