ID,start,end,length (sec)
0,0,218.9,218.9
1,218.9,285.9,67
2,285.9,422.7,136.8
3,422.7,450.3,27.6
4,450.3,576.7,126.4
5,576.7,663.9,87.2
6,663.9,1139.3,475.4
7,1139.3,1408.5,269.2
8,1408.5,1665,256.5
9,1665,1673.6,8.6
10,1673.6,1711.9,38.3
11,1711.9,1841.7,129.8
12,1841.7,1857.4,15.7
13,1857.4,1877.8,20.4
14,1877.8,1921.8,44
15,1921.8,2456.1,534.3
16,2456.1,3164.1,708
17,3164.1,3197.9,33.8
18,3197.9,3263.7,65.8
19,3263.7,3288.2,24.5
20,3288.2,3291.2,3
21,3291.2,3319.8,28.6
22,3319.8,3422.7,102.9
23,3422.7,3432.2,9.5
24,3432.2,3449.1,16.9
25,3449.1,3453.3,4.2
26,3453.3,3510.2,56.9
27,3510.2,3672.6,162.4
28,3672.6,3741.2,68.6
29,3741.2,3835.2,94
30,3835.2,3877.6,42.4
31,3877.6,3936,58.4
