ID,start,end,length (sec)
0,0,53.1,53.1
1,53.1,122.7,69.6
2,122.7,128.3,5.6
3,128.3,287.3,159
4,287.3,307.8,20.5
5,307.8,497,189.2
6,497,510.2,13.2
7,510.2,779.3,269.1
8,779.3,1152.9,373.6
9,1152.9,1254.7,101.8
10,1254.7,1259.9,5.2
11,1259.9,1320.1,60.2
12,1320.1,1383.2,63.1
13,1383.2,1436.8,53.6
14,1436.8,1469.7,32.9
15,1469.7,1499.7,30
16,1499.7,1506.8,7.1
17,1506.8,1548.4,41.6
18,1548.4,1574.7,26.3
19,1574.7,2083.1,508.4
20,2083.1,2087.4,4.3
21,2087.4,2145.6,58.2
22,2145.6,2151,5.4
23,2151,2177.1,26.1
24,2177.1,2204.6,27.5
25,2204.6,2227.2,22.6
26,2227.2,2279.7,52.5
27,2279.7,2411,131.3
28,2411,2600.4,189.4
29,2600.4,2725.9,125.5
30,2725.9,2825.9,100
31,2825.9,2830.5,4.6
32,2830.5,2891.1,60.6
33,2891.1,3050.3,159.2
34,3050.3,3060.3,10
35,3060.3,3160.6,100.3
36,3160.6,3384.7,224.1
37,3384.7,3386,1.3
38,3386,3621.8,235.8
39,3621.8,3928.8,307
40,3928.8,3950.7,21.9
41,3950.7,4211.9,261.2
42,4211.9,4228.4,16.5
43,4228.4,4236.5,8.1
44,4236.5,4290.1,53.6
45,4290.1,4300.1,10
46,4300.1,4468,167.9
47,4468,5081.6,613.6
48,5081.6,5108.6,27
49,5108.6,5173.7,65.1
50,5173.7,5177.3,3.6
51,5177.3,5356.2,178.9
