ID,start,end,length (sec)
0,0,198.6,198.6
1,198.6,248.9,50.3
2,248.9,395.7,146.8
3,395.7,460.1,64.4
4,460.1,648.5,188.4
5,648.5,696.1,47.6
6,696.1,723.7,27.6
7,723.7,749.9,26.2
8,749.9,769.5,19.6
9,769.5,1016.7,247.2
10,1016.7,1151.6,134.9
11,1151.6,1479.3,327.7
12,1479.3,1972.6,493.3
13,1972.6,2008.8,36.2
14,2008.8,2178.8,170
15,2178.8,2192.2,13.4
16,2192.2,2197.5,5.3
17,2197.5,2245.3,47.8
18,2245.3,2340.8,95.5
19,2340.8,2348.4,7.6
20,2348.4,2371.7,23.3
21,2371.7,2387.5,15.8
22,2387.5,2470.6,83.1
23,2470.6,2636.4,165.8
24,2636.4,2841.4,205
25,2841.4,2917.5,76.1
26,2917.5,2930.6,13.1
27,2930.6,2954.6,24
28,2954.6,3554.5,599.9
29,3554.5,3648.6,94.1
30,3648.6,4018.8,370.2
31,4018.8,4096,77.2
32,4096,4367.9,271.9
33,4367.9,4543.7,175.8
34,4543.7,4549.8,6.1
35,4549.8,4556.2,6.4
36,4556.2,4847.1,290.9
37,4847.1,4991.2,144.1
38,4991.2,5005,13.8
39,5005,5018.1,13.1
40,5018.1,5097.7,79.6
41,5097.7,5103.3,5.6
42,5103.3,5123.8,20.5
43,5123.8,5417.1,293.3
